Identifier,Title#1,Description#1,Description Type#1,Description#2,Description Type#2,Description#3,Description Type#3,Subject#1,Subject Type#1,Subject#10,Subject Type#10,Subject#11,Subject Type#11,Subject#12,Subject Type#12,Subject#13,Subject Type#13,Subject#14,Subject Type#14,Subject#15,Subject Type#15,Subject#16,Subject Type#16,Subject#17,Subject Type#17,Subject#18,Subject Type#18,Subject#19,Subject Type#19,Subject#2,Subject Type#2,Subject#3,Subject Type#3,Subject#4,Subject Type#4,Subject#5,Subject Type#5,Subject#6,Subject Type#6,Subject#7,Subject Type#7,Subject#8,Subject Type#8,Subject#9,Subject Type#9,Source#1,Creator#1,Creator Type#1,Contributor#1,Contributor Type#1,Contributor#2,Contributor Type#2,Contributor#3,Contributor Type#3,Contributor#4,Contributor Type#4,Contributor#5,Contributor Type#5,Contributor#6,Contributor#7,Rights,Date#1,Format Medium#1,Format Media Type#1,Language#1,Language#2,Language#3,ln_RECORDID,ln_RECORD_BATCHID,lnexp_MEDIAFILENAME
narv_brak_BrakhageInterviewBaltimoreRadioMarch1986,Stan Brakhage on awards and competitions in the arts,"Stan Brakhage is interviewed for Baltimore radio station WCBM's Performing Arts program. He discusses why he is opposed to competitions in the arts. He talks about why he lives in a ""ghost town."" Goes into why city life is not for him. Brakhage responds to questions about an Andy Warhol film by pointing to the work of Paul Sharits.",Abstract,"00:00 Brakhage begins
15:25 Talks about his ghost town
20:05 Warhol versus Sharits
23:55 End
",SegmentSequence,,,"Brakhage, Stan",naf,,,,,,,,,,,,,,,,,,,,,Independent filmmakers -- United States -- Interviews,lcsh,Artists -- United States – Attitudes,lcsh,Art -- Philosophy,lcsh,Art -- Awards,lcsh,,,,,,,,,narv_brak_BrakhageInterviewBaltimoreRadioMarch1986,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,1986-03,audio/mp3,Sound,English,,,1095419,4606,narv_brak_BrakhageInterviewBaltimoreRadioMarch1986.mp3
narv_brak_CAHspeech_caswallon1980_84,Talk on church architecture and readings about Caswallon,"The first half of this recording is a lecture on aspects of church architecture, space, and spirituality. The second half comprises a number of readings about Caswallon and the invasion of the British Isles by the Romans, with electronic music and sound effects.",Abstract,"00:00 Speaker begins to read on topic of space and spiritual experience 05:45 Gives examples of Martin Luther's attitudes 07:00 Contemporary architecture for churches 14:45 End of talk. Music plays 15:30 Electronic sounds and voices reading poetry 20:30 Voice (Brakhage) talks about war in the media 24:00 A voice reads about Caswallon, with electronic and gun fire sounds 27:00 Reader: Druid custom of embalming heads 31:45 Caswallon's cousin's instructions to keep his head for 87 years 33:00 More readings of Celtic/Roman battles with electronic sounds 46:45 Reading: Caesar's conditions for the Roman retreat 51:15 Reading: After the British Islands were conquered and occupied 54:00 Electronic sounds to end 01:02:45 End",SegmentSequence,,,Church architecture -- United States -- 20th century,lcsh,,,,,,,,,,,,,,,,,,,,,Space (Architecture),lcsh,Sound effects,lcsh,Caswallon,,Cassivellaunus,,British Isles -- History,lcsh,,,,,,,narv_brak_CAHspeech_caswallon1980_84,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,1980,audio/mp3,Sound,English,,,1095361,4606,narv_brak_CAHspeech_caswallon1980_84.mp3
narv_brak_CharlesOlsenMaximus_Dupe_PoetryTape2_S1,"Charles Olsen reads his poems, Part 1","Olsen reads his poems before a small audience. Continued on 'Charles Olsen reads his poems, Part 2.' ",Abstract,"00:00 Reading begins
01:05:26 End
",SegmentSequence,,,"Olson, Charles, 1910-1970 -- Poems",naf,,,,,,,,,,,,,,,,,,,,,"Poetry, American -- 20th century",lcsh,Oral interpretation of poetry,lcsh,,,,,,,,,,,,,narv_brak_CharlesOlsenMaximus_Dupe_PoetryTape2_S1,"Brakhage, Stan",naf,"Olson, Charles, 1910-1970",naf,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,,audio/mp3,Sound,English,,,1095418,4606,narv_brak_CharlesOlsenMaximus_Dupe_PoetryTape2_S1.mp3
narv_brak_CharlesOlsenMaximus_Dupe_PoetryTape2_S2,"Charles Olsen reads his poems, Part 2","Continues 'Charles Olsen reads his poems, Part 1. ' Olsen reads his poems before a small audience. ",Abstract,"00:00 Reading begins
01:04:55 Silence
01:04:38 End
",SegmentSequence,,,"Olson, Charles, 1910-1970 -- Poems",naf,,,,,,,,,,,,,,,,,,,,,"Poetry, American -- 20th century",lcsh,Oral interpretation of poetry,lcsh,,,,,,,,,,,,,narv_brak_CharlesOlsenMaximus_Dupe_PoetryTape2_S2,"Brakhage, Stan",naaf,"Olson, Charles, 1910-1970",naf,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,,audio/mp3,Sound,English,,,1095417,4606,narv_brak_CharlesOlsenMaximus_Dupe_PoetryTape2_S2.mp3
narv_brak_CharlesOlsenMaximusAllen Ginsberg_S1_P1,"Poetry reading: Charles Olsen, Part 1",Charles Olsen reads some of his poems before an audience. Continued on 'Poetry reading: Charles Olsen Part 2.',Abstract,"00:00 Olsen reads a poems 
08:25 He comments 
09:20 Continues reading
14:05 Ends and applause and organizing
16:43 Reads another poem
18:15 Reads another poem
18:55 Reads another poem
21:05 Reads another poem
23:00 Reads two quotes
24:00 Reads another poem 
25:50 Reads another poem
26:05 Reads another poem
26:40 Reads another poem
30:59  End
",SegmentSequence,,,"Olson, Charles, 1910-1970 -- Poems",naf,,,,,,,,,,,,,,,,,,,,,"Poetry, American -- 20th century",lcsh,Oral interpretation of poetry,lcsh,,,,,,,,,,,,,narv_brak_CharlesOlsenMaximusAllen Ginsberg_S1_P1,"Brakhage, Stan",naf,"Olson, Charles, 1910-1970",naf,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,,audio/mp3,Sound,English,,,1095416,4606,narv_brak_CharlesOlsenMaximusAllen Ginsberg_S1_P1.mp3
narv_brak_CharlesOlsenMaximusAllen Ginsberg_S1_P2,"Poetry reading: Charles Olsen, Part 2","Continues 'Poetry reading: Charles Olsen, Part 1.' Charles Olsen reads some of his poems before an audience. Continued on 'Poetry reading: Charles Olsen and Allen Ginsberg.'",Abstract,"00:00 Olsen Comments
00:34 He reads a poem
01:17 He reads another poem
02:10 Reads a another poem
04:50 Applause - talking
08:40 Olsen reads another poem
12:10 Olsen reads another poem
15:08 Reads another poem
16:18 Reads another poem
25:30 Comments and then reads a three-part poem
30:16 End
",SegmentSequnece,,,"Olson, Charles, 1910-1970 -- Poems",naf,,,,,,,,,,,,,,,,,,,,,"Poetry, American -- 20th century",lcsh,Oral interpretation of poetry,lcsh,,,,,,,,,,,,,narv_brak_CharlesOlsenMaximusAllen Ginsberg_S1_P2,"Brakhage, Stan",naf,"Olson, Charles, 1910-1970",naf,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,,audio/mp3,Sound,English,,,1095415,4606,narv_brak_CharlesOlsenMaximusAllen Ginsberg_S1_P2.mp3
narv_brak_CharlesOlsenMaximusAllen Ginsberg_S2,Poetry reading: Charles Olsen and Allen Ginsberg,"Continues 'Poetry reading: Charles Olsen, Part 2.' Charles Olsen reads his poems before an audience. Allen Ginsberg reads some of his poems (26:00 on)",Abstract,"01:20 Olsen reads a poem
11:20 Olsen reads another poem
18:10 He comments
19:45 He reads another poem
26:05 Ginsberg reads a poem
28:18 He reads another poem
30:30 He reads another poem
31:30 He reads another poem
33:05 He reads another poem
35:25 He comments
36:45 He reads another poem
38:45 He comments
39:15 He reads another poem
40:30 Comments
41:00 He reads another poem
41:45 He reads another poem
43:00 He reads another poem
50:12 He reads another poem
52:40 He comments
53:24 He reads another poem
55:05 He comments
55:40 He reads another poem
58:25 He reads Howl
59:53 He decides not to continue with it
01:01:05 He reads another poem
01:05:20 Silence to end
01:06:20 End
",SegmentSequence,,,"Olson, Charles, 1910-1970 -- Poems",naf,,,,,,,,,,,,,,,,,,,,,"Ginsberg, Allen, 1926-1997 -- Poems",naf,"Poetry, American -- 20th century",lcsh,Oral interpretation of poetry,lcsh,,,,,,,,,,,narv_brak_CharlesOlsenMaximusAllen Ginsberg_S2,"Brakhage, Stan",naf,"Olson, Charles, 1910-1970",naf,"Ginsberg, Allen, 1926-1997",naf,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,,audio/mp3,Sound,English,,,1095414,4606,narv_brak_CharlesOlsenMaximusAllen Ginsberg_S2.mp3
narv_brak_CharlesOlsenMaximusForRadioMaxell,"A poetry reading: Charles Olsen, Part 1","Charles Olsen reads his shorter poems before an audience. Continued on 'A poetry reading: Charles Olsen, Part 2.' ",Abstract,"00:00 Olsen reads one poem after another
47:58 End
",SegmentSequence,,,"Olson, Charles, 1910-1970 -- Poems",naf,,,,,,,,,,,,,,,,,,,,,"Poetry, American -- 20th century",lcsh,Oral interpretation of poetry,lcsh,,,,,,,,,,,,,narv_brak_CharlesOlsenMaximusForRadioMaxell,"Brakhage, Stan",naf,"Olson, Charles, 1910-1970",naf,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,,audio/mp3,Sound,English,,,1095413,4606,narv_brak_CharlesOlsenMaximusForRadioMaxell.mp3
narv_brak_CharlesOlsenMaximusPoetrytape2White,"A poetry reading: Charles Olsen, Part 2","Continues 'A poetry reading: Charles Olsen, Part 1.' Olsen reads his poems to a small audience. The recording begins mid-sentence. ",Abstract,"00:00 Olsen reads
29:14 End
",SegmentSequence,,,"Olson, Charles, 1910-1970 -- Poems",naf,,,,,,,,,,,,,,,,,,,,,"Poetry, American -- 20th century",lcsh,Oral interpretation of poetry,lcsh,,,,,,,,,,,,,narv_brak_CharlesOlsenMaximusPoetrytape2White,"Brakhage, Stan",naf,"Olson, Charles, 1910-1970",naf,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,,audio/mp3,Sound,English,,,1095412,4606,narv_brak_CharlesOlsenMaximusPoetrytape2White.mp3
narv_brak_ChartReadingforJaneBrakhage,Astrological chart reading for Jane Brakhage,Ray Grasse gives his interpretation of the astrological chart for Jane Brakhage.,Abstract,00:00 Grasse begins with general astrological information 07:30 Goes into specifics about Jane's chart 01:30:30 End,SegmentSequence,,,"Wodening, Jane, 1936-",naf,,,,,,,,,,,,,,,,,,,,,Astrology,lcsh,Horoscopes,lcsh,,,,,,,,,,,,,narv_brak_ChartReadingforJaneBrakhage,"Brakhage, Stan",naf,"Grasse, Ray",,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,1980,audio/mp3,Sound,English,,,1095360,4606,narv_brak_ChartReadingforJaneBrakhage.mp3
narv_brak_Clarathenjane_JaneandMe1980_84,Conversations between Brakhage and his mother and then with his wife,"In a very personal conversation, Stan Brakhage confronts his mother about her past wrongdoings. They talk about forgiveness, love, lying, his childhood and religious upbringing. There is some discussion about the house she lives in; here Clara is inaudible. The second half of the recording features Stan and Jane speaking about their relationships, their personalities, their wishes, and people and art in general.",Abstract,"00:00 Stan Brakhage speaks on the telephone with with his mother. Her voice is barely audible. 26:30 Clara is completely inaudible. 39:30 Brakhage ends the phone call. Sounds from TV program; typewriter. 41:15 Stan and Jane talk 01:01:30 Jane speaks of her attitude toward humans 01:04:30 Jane speaks about her role in their relationship 01:13:00 They talk about their attitudes toward other people 01:26:00 Then friendship with and loving an artist, Stan in particular 01:30:30 Stan ponders taking a vow of silence 01:32:45 They discuss society and the artist 01:36:30 They philosophize about humanity and the role of art 01:41:00 Stan expresses his desire for a being a hermit, hiding away 01:49:00 They talk about how they've been changing 01:51:30 They talk about the potential purpose of these recordings 01:56:00 End",SegmentSequence,,,"Brakhage, Stan",naf,,,,,,,,,,,,,,,,,,,,,"Wodening, Jane, 1936-",naf,Mothers and sons,lcsh,Married people,lcsh,,,,,,,,,,,narv_brak_Clarathenjane_JaneandMe1980_84,"Brakhage, Stan",naf,"Brakhage, Clara",,"Wodening, Jane, 1936-",naf,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,1980,audio/mp3,Sound,English,,,1095359,4606,narv_brak_Clarathenjane_JaneandMe1980_84.mp3
narv_brak_Collins,Poetry of William Collins,A selection of poems written by William Collins are read.,Abstract,"00:00 The Dream of the maid
00:28 Cecily One
00:10 Cecily Two
02:10 The Hystrix
03:05 The Nag
04:25 Seagull song
04:57 The Fetcher
05:40 Gallows' Child lullaby 
06:34 Possum and pussum 
07:25 Goat and stalker
08:05 Untranslation
09:10 End
",SegmentSequence,,,"Collins, William, 1721-1759. Poems ",naf,,,,,,,,,,,,,,,,,,,,,Oral interpretation of poetry,lcsh,,,,,,,,,,,,,,,narv_brak_Collins,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,,audio/mp3,Sound,English,,,1095411,4606,narv_brak_Collins.mp3
narv_brak_CreeleyAndDornPoetryReading_ElPaso1983,Poetry reading: Robert Creeley and Ed Dorn,Robert Creeley reads some of his poems before an audience. Then Ed Dorn reads some of his short and humorous poems.,Abstract,"01:40 Robert Creeley is introduced
02:45 Creeley reads a poem 
04:25 He reads another poem
06:30 He reads another poem
10:35 He reads another poem
12:15 He reads another poem
13:15 He reads another poem
15:15 He reads another poem
19:00 Ed Dorn is introduced
19:20 He reads a poem
19:40 He reads another poem
20:10 He reads another poem
20:30 He reads another poem
21:13 He reads another poem
21:50 He reads another poem
22:20 He reads another poem
23:37  End
",SegmentSequence,,,"Poetry, American -- 20th century",lcsh,,,,,,,,,,,,,,,,,,,,,Oral interpretation of poetry,lcsh,Poets -- 20th century,lcsh,,,,,,,,,,,,,narv_brak_CreeleyAndDornPoetryReading_ElPaso1983,"Brakhage, Stan",naf,"Creeley, Robert, 1926-2005",naf,"Dorn, Edward",naf,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,1983,audio/mp3,Sound,English,,,1095410,4606,narv_brak_CreeleyAndDornPoetryReading_ElPaso1983.mp3
narv_brak_DasGuptaTranslationsofthePoetryofJibanandaDas,Poetry of Jibanananda Das,"Poems  of Jibanananda Das, translated from the original Bengali by Chidananda  Dashgupta, are read by the translator. Some some cases brief conversations between him and Stan Brakhage take place between the readings. Another poet's poems are read during the last 15 minutes.",Abstract,"00:00 The orange
00:45 The corpse
02:10 The lighter moment
05:10 Depths
06:40 Spring has passed
007:25 What else before death
11:20 Brakhage asks questions about the poet
16:30 Epitaph (read twice)
18:40 The professor (read three times)
23:20 Banalata Sen
16:55 The Eons like fireflies (sequel to Banalat Sen)
30:10 Last night and this morning
32:25 What else before death (read again)
36:20 Brakhage expresses his admiration for this poem
39:25 Another poet's  'The girl'
42:00 His poem 'Love'
43:15 Another poem is read
45:28 They speak about the language and translation
52:25 Night of pain 
53:10 They talk
54:30 Silence
54:44:00 End
",SegmentSequence,,,"Das, Jibanananda, 1899-1954 ",naf,,,,,,,,,,,,,,,,,,,,,Indian poetry -- 20th century,lcsh,Poetry -- 20th century,lcsh,Oral interpretation of poetry,lcsh,,,,,,,,,,,narv_brak_DasGuptaTranslationsofthePoetryofJibanandaDas,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,,audio/mp3,Sound,English,,,1095409,4606,narv_brak_DasGuptaTranslationsofthePoetryofJibanandaDas.mp3
narv_brak_DaybreakEdited,Sound recording: Daybreak,"A collage of natural and human sounds. This content may be relevant to the soundtrack of Brakhage's two-part film titled ""Daybreak and Whiteye.""",Abstract,"00:00 Sounds  begin
05:00 End
",SegmentSequence,,,Sound recording,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,narv_brak_DaybreakEdited,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,,audio/mp3,Sound,,,,1095408,4606,narv_brak_DaybreakEdited.mp3
narv_brak_dornreadingsunivofcalifornia1972,Edward Dorn reading at University of California Riverside,"Edward Dorn talks about and reads from his 'Recollections of Gran Apacheria,' 'The Gunslinger,' and 'Bean News.'",Abstract,00:00 Speaker introduces Dorn 01:45 Dorn begins with his interest in American Indians 06:15 He introduces his 'Recollections of Gran Apacheria' 08:15 Reads from 'Gran Apacheria' 35:30 The reading ends. 36:45 Introduces aspects of 'The Gunslinger' 44:45 Reads 'The Cycle' section of 'The Gunslinger' 01:13:15 Introduces Book III of 'The Gunslinger' and talks about 'Bean News' 01:18:00 Reads from 'Bean News' 01:29:00 End,SegmentSequence,University of California Riverside,Venue,"Dorn, Edward",naf,,,,,,,,,,,,,,,,,,,,,Indians in literature,lcsh,West (U.S.) in literature,,"Authors, American -- Interviews",lcsh,,,,,,,,,,,narv_brak_dornreadingsunivofcalifornia1972,"Brakhage, Stan",naf,"Dorn, Edward",naf,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,1972,audio/mp3,Sound,English,,,1095369,4606,narv_brak_dornreadingsunivofcalifornia1972.mp3
narv_brak_EchoeChamber,Sound recording: Echo chamber,"Eerie sounds, distorted by playback speed are recorded at various volume levels.",Abstract,"00:00 Sounds begin
10:30 High-pitched sounds are added
13:05 End
",SegmentSequence,,,Sound recording,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,narv_brak_EchoeChamber,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,,audio/mp3,Sound,,,,1095407,4606,narv_brak_EchoeChamber.mp3
narv_brak_EducationalFilmSoundtrack,Educational film sound track on corrosion,On the sound track of an educational film a speaker talks about the damage of corrosion and corrosion control.,Abstract,"00:00 Soundtrack begins
03:18 End
",SegmentSequence,,,Corrosion,lcsh,,,,,,,,,,,,,,,,,,,,,Educational films  -- United States,lcsh,,,,,,,,,,,,,,,narv_brak_EducationalFilmSoundtrack,,,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,,audio/mp3,Sound,English,,,1095406,4606,narv_brak_EducationalFilmSoundtrack.mp3
narv_brak_elpasoartpanel1983_P1,Stan Brakhage on El Paso Art Panel - Part 1,"A diverse panel discusses the various aspects of the arts in general and the arts in small cities, in particular. Points are made by artists, city council members, museum directors, others concerning the support for and interest in the arts; who might fund the arts; and what role education plays. Continued on 'Stan Brakhage on El Paso Art Panel - Part 2'",Abstract,"00:00 A discussion on the arts in public and commercial media 14:45 A discussion on the role of government, businesses, and corporations in funding t art programs and why most people don't consider it a priority 32:33 A number of examples are given for successful exhibits, concert tours, funding, volunteering 50:45 A discussion on how education can expand interest in the arts, Brakhage claiming education stifles creativity 01:0015 A discussion about the role of business, technology, and financial aspects of the arts 01:23:00 Brakhage defines art as something made by a human being which interests another human being. Talks about artists who are involved in their communities and the difficulties that European artists face in East Block countries 01:29:00 Beth Barillas talks about showing art in their home 01:31:20 End",SegmentSequence,,,Arts and society -- United States -- 20th century,lcsh,,,,,,,,,,,,,,,,,,,,,Art -- United States -- 20th century,lcsh,Art Education,lcah,Arts audiences -- United States -- 20th century,lcsh,Arts fund raising,lcsh,El Paso (Tex.),lcsh,,,,,,,narv_brak_elpasoartpanel1983_P1,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,1983,audio/mp3,Sound,English,,,1095370,4606,narv_brak_elpasoartpanel1983_P1.mp3
narv_brak_elpasoartpanel1983_P2,Stan Brakhage on El Paso Art Panel - Part 2,Continues 'Stan Brakhage on El Paso art Panel - Part 1.' The panel discusses the artists' and the government's role in promoting an interest in the arts. Continued on 'Stan Brakhage on El Paso art Panel - Part 3.',Abstract,"00:00 Speaker encourages artists to participate and not take adversarial stance 02:00 Brakhage responds that young artists are disinterested in talk and the arts have therefore receded 04:30 Talks about the price he's paid for his fame and the ineptness of government to promote art 05:30 Speaker explains that panels are a good start to get people talking 08:00 Speaker talks about Woody Herman and a painter, Phil, whom they support. 11:00 The panel ends 11:19 End",SegmentSequence,,,"Brakhage, Stan",naf,,,,,,,,,,,,,,,,,,,,,Art -- United States -- 20th century,lcsh,Independent filmmakers -- United States,lcsh,El Paso (Tex.),lcsh,,,,,,,,,,,narv_brak_elpasoartpanel1983_P2,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,1983,audio/mp3,Sound,English,,,1095371,4606,narv_brak_elpasoartpanel1983_P2.mp3
narv_brak_elpasoartpanel1983_P3,Stan Brakhage on El Paso Art Panel - Part 3,Zig Knoll reads a number of her poems. A band with Shelley Manne plays a jazz number.,Abstract,"0:00 Announcer presents Zig Knoll, who begins reading her poems 18:20 Speaker introduces a band with drummer Shelley Manne; they start playing jazz music 25:10 Band ends performance 25:50 End",SegmentSequence,,,"Knoll, Zig",naf,,,,,,,,,,,,,,,,,,,,,"Manne, Shelly",naf,"Poetry, American -- 20th century",lcsh,Oral interpretation of poetry,lcsh,Music -- United States -- 20th century,lcsh,,,,,,,,,narv_brak_elpasoartpanel1983_P3,"Brakhage, Stan",naf,"Knoll, Zig",naf,"Manne, Shelly",naf,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,1983,audio/mp3,Sound,English,,,1095358,4606,narv_brak_elpasoartpanel1983_P3.mp3
narv_brak_FerlinghettiTheDead,Lawrence Ferlinghetti reads the poem The Dead,Lawrence Ferlinghetti reads a poem entitled The Dead.,Abstract,"00:00 Ferlinghetti begins
10:10  End
",SegmentSequence,,,Death in literature,lcsh,,,,,,,,,,,,,,,,,,,,,Oral interpretation of poetry,lcsh,,,,,,,,,,,,,,,narv_brak_FerlinghettiTheDead,"Brakhage, Stan",naf,"Ferlinghetti, Lawrence",naf,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,,audio/mp3,Sound,English,,,1095405,4606,narv_brak_FerlinghettiTheDead.mp3
narv_brak_FilmStudiesPolicyMeeting1984_P1_P2,"Film Studies Policy Meeting, 1984 - Part 1 and 2","This 3-part recording has Film Studies professors of the University of Colorado discussing the pros and cons of films being purchased for the University of Colorado as video tapes (VHS/Betamax). Issues such as student accessibility, qualitative differences, deterioration, lack of funds, and the department's main focus for teaching film are addressed. Stan Brakhage adamantly pleads with his colleagues, not to accept the new technology because it is inferior, even though video recordings are cheaper to purchase and easier for the student to use than reel-to-reel films are. In part 3, after further debate, the agreement is reached that videos will not be used in the classroom but may be useful for students wanting to view films on their own. A small collection would be purchased and housed at the Norlin Library. Continued on 'Film Studies Policy Meeting, 1984 - Part 3.'",Abstract,"0:00 A speaker announces that $30,000 have been approved for purchases and a lively discussion begins 09:30 Brakhage starts arguing against purchasing videos 01:03:17 End",SegmentSequence,University of Colorado (Boulder campus),Venue,Film teachers -- 20th century,lcsh,,,,,,,,,,,,,,,,,,,,,Motion pictures -- Study and teaching (Higher),lcsh,Filmmaking (Motion pictures) -- Study and teaching (Higher),lcsh,Motion pictures -- Technological innovations -- 20th century,lcsh,Video tapes in education,lcsh,"Brakhage, Stan",naf,,,,,,,narv_brak_FilmStudiesPolicyMeeting1984_P1_P2,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,1984,audio/mp3,Sound,English,,,1095357,4606,narv_brak_FilmStudiesPolicyMeeting1984_P1_P2.mp3
